zoom_level,filename,castle_count,unique_castles,avg_confidence,total_chars,density_score
-20,zoom_in_20.png,6,5,43.8,246,6
-19,zoom_in_19.png,6,4,68.3,275,6
-18,zoom_in_18.png,4,4,73.5,273,4
-17,zoom_in_17.png,3,3,74.7,213,3
-16,zoom_in_16.png,7,4,68.7,343,7
-15,zoom_in_15.png,5,4,68.4,338,5
-14,zoom_in_14.png,6,5,67.3,342,6
-13,zoom_in_13.png,7,4,75.9,368,7
-12,zoom_in_12.png,2,2,59.0,94,2
-11,zoom_in_11.png,1,1,44.0,79,1
-10,zoom_in_10.png,0,0,0,55,0
-9,zoom_in_09.png,3,3,56.3,334,3
-8,zoom_in_08.png,4,3,37.2,265,4
-7,zoom_in_07.png,5,4,40.2,258,5
-6,zoom_in_06.png,0,0,0,114,0
-5,zoom_in_05.png,5,4,59.4,342,5
-4,zoom_in_04.png,0,0,0,35,0
-3,zoom_in_03.png,1,1,44.0,40,1
-2,zoom_in_02.png,0,0,0,80,0
-1,zoom_in_01.png,0,0,0,25,0
0,initial_00.png,2,2,60.5,263,2
1,zoom_out_01.png,4,2,41.0,198,4
2,zoom_out_02.png,0,0,0,0,0
3,zoom_out_03.png,0,0,0,0,0
4,zoom_out_04.png,6,5,62.7,322,6
5,zoom_out_05.png,6,5,52.7,280,6
6,zoom_out_06.png,6,3,69.5,340,6
7,zoom_out_07.png,3,3,74.7,249,3
8,zoom_out_08.png,4,3,70.5,234,4
9,zoom_out_09.png,4,4,69.8,353,4
10,zoom_out_10.png,10,5,65.8,349,10
11,zoom_out_11.png,4,4,74.0,246,4
12,zoom_out_12.png,7,4,65.0,347,7
13,zoom_out_13.png,3,3,74.7,208,3
14,zoom_out_14.png,6,6,63.2,329,6
15,zoom_out_15.png,2,2,90.0,239,2
16,zoom_out_16.png,7,6,67.4,288,7
17,zoom_out_17.png,7,6,64.1,307,7
18,zoom_out_18.png,5,4,60.0,213,5
19,zoom_out_19.png,3,3,74.7,249,3
20,zoom_out_20.png,4,4,79.5,331,4
21,zoom_out_21.png,4,4,69.5,227,4
22,zoom_out_22.png,4,3,73.2,270,4
23,zoom_out_23.png,6,5,66.0,296,6
24,zoom_out_24.png,6,3,76.8,235,6
25,zoom_out_25.png,4,3,72.2,288,4
26,zoom_out_26.png,7,5,54.3,219,7
27,zoom_out_27.png,4,4,69.8,277,4
28,zoom_out_28.png,4,4,73.2,235,4
29,zoom_out_29.png,4,3,69.8,275,4
30,zoom_out_30.png,6,4,75.5,285,6
31,zoom_out_31.png,5,4,77.6,249,5
32,zoom_out_32.png,3,3,74.7,189,3
33,zoom_out_33.png,3,3,74.7,224,3
34,zoom_out_34.png,2,2,40.5,86,2
35,zoom_out_35.png,2,2,51.5,255,2
36,zoom_out_36.png,4,3,50.5,346,4
37,zoom_out_37.png,5,3,76.2,311,5
38,zoom_out_38.png,4,4,54.2,299,4
39,zoom_out_39.png,2,2,43.5,78,2
40,zoom_out_40.png,1,1,44.0,78,1
