step,count,size,path
0,0,0,zoom_calibration/zoom_000.png
1,0,0,zoom_calibration/zoom_001.png
2,0,0,zoom_calibration/zoom_002.png
3,0,0,zoom_calibration/zoom_003.png
4,0,0,zoom_calibration/zoom_004.png
5,0,0,zoom_calibration/zoom_005.png
6,0,0,zoom_calibration/zoom_006.png
7,0,0,zoom_calibration/zoom_007.png
8,0,0,zoom_calibration/zoom_008.png
9,0,0,zoom_calibration/zoom_009.png
10,0,0,zoom_calibration/zoom_010.png
11,0,0,zoom_calibration/zoom_011.png
12,0,0,zoom_calibration/zoom_012.png
13,0,0,zoom_calibration/zoom_013.png
14,0,0,zoom_calibration/zoom_014.png
15,0,0,zoom_calibration/zoom_015.png
16,0,0,zoom_calibration/zoom_016.png
17,0,0,zoom_calibration/zoom_017.png
18,0,0,zoom_calibration/zoom_018.png
19,0,0,zoom_calibration/zoom_019.png
20,0,0,zoom_calibration/zoom_020.png
21,0,0,zoom_calibration/zoom_021.png
22,0,0,zoom_calibration/zoom_022.png
23,0,0,zoom_calibration/zoom_023.png
24,0,0,zoom_calibration/zoom_024.png
25,30,3364.4666666666667,zoom_calibration/zoom_025.png
26,30,3364.4666666666667,zoom_calibration/zoom_026.png
27,29,3340.8275862068967,zoom_calibration/zoom_027.png
28,27,3393.5185185185187,zoom_calibration/zoom_028.png
29,27,3393.5185185185187,zoom_calibration/zoom_029.png
30,19,3393.157894736842,zoom_calibration/zoom_030.png
31,18,3385.5,zoom_calibration/zoom_031.png
32,16,3441.0625,zoom_calibration/zoom_032.png
33,15,3521.5333333333333,zoom_calibration/zoom_033.png
34,15,3521.5333333333333,zoom_calibration/zoom_034.png
35,15,3521.5333333333333,zoom_calibration/zoom_035.png
36,10,3406.5,zoom_calibration/zoom_036.png
37,9,3355.5555555555557,zoom_calibration/zoom_037.png
38,7,3337.4285714285716,zoom_calibration/zoom_038.png
39,6,3362.1666666666665,zoom_calibration/zoom_039.png
40,6,3343.3333333333335,zoom_calibration/zoom_040.png
41,5,3351.2,zoom_calibration/zoom_041.png
42,4,3333.5,zoom_calibration/zoom_042.png
43,6,2423.3333333333335,zoom_calibration/zoom_043.png
44,6,2528.8333333333335,zoom_calibration/zoom_044.png
45,5,2493.8,zoom_calibration/zoom_045.png
46,6,2737.3333333333335,zoom_calibration/zoom_046.png
47,7,2615.8571428571427,zoom_calibration/zoom_047.png
48,8,2591.5,zoom_calibration/zoom_048.png
49,6,2737.3333333333335,zoom_calibration/zoom_049.png
50,8,2771.0,zoom_calibration/zoom_050.png
51,8,2771.0,zoom_calibration/zoom_051.png
52,8,2771.0,zoom_calibration/zoom_052.png
53,8,2771.0,zoom_calibration/zoom_053.png
54,9,2771.222222222222,zoom_calibration/zoom_054.png
55,8,2771.0,zoom_calibration/zoom_055.png
56,5,3388.2,zoom_calibration/zoom_056.png
57,1,2898.0,zoom_calibration/zoom_057.png
58,1,2898.0,zoom_calibration/zoom_058.png
59,1,2898.0,zoom_calibration/zoom_059.png
60,3,2237.3333333333335,zoom_calibration/zoom_060.png
61,8,1858.5,zoom_calibration/zoom_061.png
62,5,2005.6,zoom_calibration/zoom_062.png
63,6,2021.1666666666667,zoom_calibration/zoom_063.png
64,5,2180.8,zoom_calibration/zoom_064.png
65,4,2282.75,zoom_calibration/zoom_065.png
66,5,2649.2,zoom_calibration/zoom_066.png
67,3,2496.3333333333335,zoom_calibration/zoom_067.png
68,6,2803.0,zoom_calibration/zoom_068.png
69,7,2926.285714285714,zoom_calibration/zoom_069.png
70,3,2971.6666666666665,zoom_calibration/zoom_070.png
71,4,2414.25,zoom_calibration/zoom_071.png
72,5,3308.8,zoom_calibration/zoom_072.png
73,6,2491.0,zoom_calibration/zoom_073.png
74,7,2637.0,zoom_calibration/zoom_074.png
75,7,2637.0,zoom_calibration/zoom_075.png
76,8,2836.625,zoom_calibration/zoom_076.png
77,7,2557.714285714286,zoom_calibration/zoom_077.png
78,6,2829.0,zoom_calibration/zoom_078.png
79,5,3172.2,zoom_calibration/zoom_079.png
80,5,3172.2,zoom_calibration/zoom_080.png
81,6,3279.8333333333335,zoom_calibration/zoom_081.png
82,6,3279.8333333333335,zoom_calibration/zoom_082.png
83,5,3115.2,zoom_calibration/zoom_083.png
84,5,3115.2,zoom_calibration/zoom_084.png
85,2,3402.0,zoom_calibration/zoom_085.png
86,3,3035.3333333333335,zoom_calibration/zoom_086.png
87,3,3035.3333333333335,zoom_calibration/zoom_087.png
88,3,3032.0,zoom_calibration/zoom_088.png
89,3,3032.0,zoom_calibration/zoom_089.png
90,3,3032.0,zoom_calibration/zoom_090.png
91,3,3032.0,zoom_calibration/zoom_091.png
92,3,3032.0,zoom_calibration/zoom_092.png
93,3,3032.0,zoom_calibration/zoom_093.png
94,3,3032.0,zoom_calibration/zoom_094.png
95,3,3032.0,zoom_calibration/zoom_095.png
96,3,3032.0,zoom_calibration/zoom_096.png
97,3,3032.0,zoom_calibration/zoom_097.png
98,3,3032.0,zoom_calibration/zoom_098.png
99,3,3032.0,zoom_calibration/zoom_099.png
